2025-03-23 16:42:28,747 - INFO - Trade Executed: {'entry_idx': 2397, 'exit_idx': 85, 'type': 'BUY', 'entry_price': 0.89579, 'stop_loss': 0.8935850000000001, 'take_profit': 0.8971939982043803, 'exit_price': 0.8935850000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0022049999999999015}
2025-03-23 16:42:28,779 - INFO - Trade Executed: {'entry_idx': 2399, 'exit_idx': 84, 'type': 'BUY', 'entry_price': 0.89573, 'stop_loss': 0.8935250000000001, 'take_profit': 0.897269648076544, 'exit_price': 0.8935250000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0022049999999999015}
2025-03-23 16:42:28,808 - INFO - Trade Executed: {'entry_idx': 2466, 'exit_idx': 5, 'type': 'BUY', 'entry_price': 0.89402, 'stop_loss': 0.8929400000000001, 'take_profit': 0.8947752980840096, 'exit_price': 0.8947752980840096, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0007552980840095369}
2025-03-23 16:42:28,838 - INFO - Trade Executed: {'entry_idx': 2467, 'exit_idx': 22, 'type': 'BUY', 'entry_price': 0.89383, 'stop_loss': 0.892495, 'take_profit': 0.8948002881418509, 'exit_price': 0.8948002881418509, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0009702881418508502}
2025-03-23 16:42:28,873 - INFO - Trade Executed: {'entry_idx': 2468, 'exit_idx': 21, 'type': 'BUY', 'entry_price': 0.89374, 'stop_loss': 0.8922100000000002, 'take_profit': 0.8948020795065933, 'exit_price': 0.8948020795065933, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0010620795065933164}
2025-03-23 16:42:28,902 - INFO - Trade Executed: {'entry_idx': 2580, 'exit_idx': 29, 'type': 'BUY', 'entry_price': 0.89563, 'stop_loss': 0.8938300000000001, 'take_profit': 0.896784484304628, 'exit_price': 0.896784484304628, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0011544843046279452}
2025-03-23 16:42:28,933 - INFO - Trade Executed: {'entry_idx': 2592, 'exit_idx': 15, 'type': 'BUY', 'entry_price': 0.89448, 'stop_loss': 0.8915850000000001, 'take_profit': 0.8966548716105587, 'exit_price': 0.8966548716105587, 'hit_sl': False, 'hit_tp': True, 'profit_loss': 0.0021748716105586263}
2025-03-23 16:42:28,964 - INFO - Trade Executed: {'entry_idx': 2666, 'exit_idx': 33, 'type': 'BUY', 'entry_price': 0.89583, 'stop_loss': 0.8945400000000001, 'take_profit': 0.8969449534622166, 'exit_price': 0.8945400000000001, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0012899999999999023}
2025-03-23 16:42:28,993 - INFO - Trade Executed: {'entry_idx': 2667, 'exit_idx': 34, 'type': 'BUY', 'entry_price': 0.89555, 'stop_loss': 0.8938999999999999, 'take_profit': 0.8970256923659607, 'exit_price': 0.8938999999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0016500000000000403}
2025-03-23 16:42:29,023 - INFO - Trade Executed: {'entry_idx': 2668, 'exit_idx': 34, 'type': 'BUY', 'entry_price': 0.89556, 'stop_loss': 0.8937149999999999, 'take_profit': 0.8970707938488792, 'exit_price': 0.8937149999999999, 'hit_sl': True, 'hit_tp': False, 'profit_loss': -0.0018450000000000966}
